relation	predicate	count
BFO:0000050	biolink:related_to	19
BFO:0000051	biolink:related_to	46057
OBO:pr#confers_resistance_to	biolink:related_to	25
OBO:pr#has_constituent_monomer	biolink:related_to	7
OBO:pr#has_gene_template	biolink:related_to	101133
OBO:pr#lacks_part	biolink:related_to	6497
OBO:pr#non-covalently_bound_to	biolink:related_to	42
RO:0000086	biolink:related_to	1
RO:0001000	biolink:related_to	56
RO:0001025	biolink:related_to	2
RO:0002160	biolink:related_to	315628
RO:0002180	biolink:related_to	468
RO:0002215	biolink:related_to	28
RO:0002331	biolink:related_to	2
RO:0002353	biolink:related_to	826
rdfs:subClassOf	biolink:subclass_of	491475
subPropertyOf	biolink:subPropertyOf	3
