relation	predicate	count
BFO:0000050	biolink:part_of	4
BFO:0000051	biolink:has_part	29
BFO:0000054	biolink:related_to	7
BFO:0000055	biolink:has_part	2
BFO:0000057	biolink:related_to	1
IAO:0000136	biolink:related_to	10
OBI:0000124	biolink:related_to	1
OBI:0000293	biolink:has_participant	4
OBI:0000299	biolink:has_output	6
OBI:0000312	biolink:related_to	6
OBI:0000417	biolink:related_to	6
OBI:0001938	biolink:related_to	2
OBO:PROCO_0000027	biolink:related_to	1
OBO:chebi#has_functional_parent	biolink:related_to	5
OBO:chebi#has_parent_hydride	biolink:related_to	3
OBO:chebi#is_conjugate_acid_of	biolink:related_to	12
OBO:chebi#is_conjugate_base_of	biolink:related_to	12
OBO:chebi#is_substituent_group_from	biolink:related_to	4
OBO:chebi#is_tautomer_of	biolink:related_to	4
RO:0000052	biolink:related_to	37
RO:0000056	biolink:participates_in	1
RO:0000085	biolink:related_to	3
RO:0000087	biolink:has_attribute	61
RO:0002180	biolink:has_part	1
RO:0002230	biolink:temporally_related_to	1
RO:0002234	biolink:has_output	1
RO:0002337	biolink:related_to	1
RO:0002353	biolink:has_output	2
SIO:000132	biolink:related_to	1
SIO:000229	biolink:related_to	2
SIO:000338	biolink:related_to	3
http://purl.allotrope.org/ontologies/property#AFX_0002722	biolink:related_to	27
inverseOf	biolink:inverseOf	12
rdfs:subClassOf	biolink:subclass_of	1086
subPropertyOf	biolink:subPropertyOf	17
type	biolink:type	22
