relation	predicate	count
BFO:0000050	biolink:related_to	26
BFO:0000051	biolink:related_to	96
BFO:0000054	biolink:related_to	1
BFO:0000055	biolink:related_to	5
BFO:0000062	biolink:related_to	7
BFO:0000063	biolink:related_to	1
IAO:0000039	biolink:related_to	1
IAO:0000136	biolink:related_to	78
IAO:0000219	biolink:related_to	6
IAO:0000221	biolink:related_to	1
OBI:0000124	biolink:related_to	2
OBI:0000293	biolink:related_to	157
OBI:0000295	biolink:related_to	27
OBI:0000299	biolink:related_to	142
OBI:0000312	biolink:related_to	25
OBI:0000417	biolink:related_to	78
OBI:0000643	biolink:related_to	5
OBI:0001938	biolink:related_to	3
OBO:stato.owl#is_model_for	biolink:related_to	1
OBO:stato.owl#is_modeled_by	biolink:related_to	2
RO:0000052	biolink:related_to	3
RO:0000057	biolink:related_to	5
RO:0000058	biolink:related_to	1
RO:0000079	biolink:related_to	1
RO:0000080	biolink:related_to	6
RO:0000081	biolink:related_to	1
RO:0000085	biolink:related_to	12
RO:0001000	biolink:related_to	1
RO:0002351	biolink:related_to	1
STATO:0000001	biolink:related_to	6
STATO:0000004	biolink:related_to	3
STATO:0000101	biolink:related_to	2
STATO:0000102	biolink:related_to	3
STATO:0000205	biolink:related_to	25
STATO:0000344	biolink:related_to	1
STATO:0000382	biolink:related_to	4
STATO:0000403	biolink:related_to	13
STATO:0000557	biolink:related_to	3
inverseOf	biolink:inverseOf	26
rdfs:subClassOf	biolink:subclass_of	1183
subPropertyOf	biolink:subPropertyOf	44
type	biolink:type	27
