relation	predicate	count
BFO:0000050	biolink:related_to	67
BFO:0000051	biolink:related_to	10
BFO:0000062	biolink:related_to	1
RO:0000056	biolink:related_to	6
RO:0000057	biolink:related_to	3
RO:0002160	biolink:related_to	1
RO:0002162	biolink:related_to	231
RO:0002202	biolink:related_to	33
RO:0002214	biolink:related_to	1
RO:0004025	biolink:related_to	230
RO:0014001	biolink:related_to	230
RO:HOM0000000	biolink:related_to	2
inverseOf	biolink:inverseOf	28
rdfs:subClassOf	biolink:subclass_of	4190
subPropertyOf	biolink:subPropertyOf	150
type	biolink:type	2
