relation	predicate	count
IAO:0100001	biolink:related_to	50
OBO:SCDO_0000303	biolink:related_to	1
OBO:SCDO_0000340	biolink:related_to	817
OBO:SCDO_0000469	biolink:related_to	3
OBO:SCDO_0000474	biolink:related_to	7
OBO:SCDO_0000479	biolink:related_to	3
OBO:SCDO_0000663	biolink:related_to	217
OBO:SCDO_0000664	biolink:related_to	286
OBO:SCDO_0001297	biolink:related_to	166
OBO:SCDO_0001364	biolink:related_to	31
OBO:SCDO_1000005	biolink:related_to	30
OBO:SCDO_1000015	biolink:related_to	41
OBO:SCDO_1000018	biolink:related_to	286
OBO:SCDO_1000172	biolink:related_to	40
OBO:SCDO_1000184	biolink:related_to	69
OBO:SCDO_1000190	biolink:related_to	68
OBO:SCDO_1000191	biolink:related_to	16
OBO:SCDO_1000192	biolink:related_to	15
OBO:SCDO_1000193	biolink:related_to	11
OBO:SCDO_1000194	biolink:related_to	27
OBO:SCDO_1000196	biolink:related_to	70
OBO:SCDO_1000199	biolink:related_to	7
OBO:SCDO_1000202	biolink:related_to	8
OBO:SCDO_1000210	biolink:related_to	117
OBO:SCDO_1000217	biolink:related_to	25
OBO:SCDO_1000218	biolink:related_to	158
OBO:SCDO_1000219	biolink:related_to	6
OBO:SCDO_1000220	biolink:related_to	37
OBO:SCDO_1000222	biolink:related_to	44
OBO:SCDO_1000223	biolink:related_to	51
OBO:SCDO_1000525	biolink:related_to	88
OBO:SCDO_1000526	biolink:related_to	80
OBO:SCDO_1000528	biolink:related_to	90
OBO:SCDO_1000771	biolink:related_to	39
OBO:SCDO_1000772	biolink:related_to	81
OBO:SCDO_1000785	biolink:related_to	92
OBO:SCDO_1110663	biolink:related_to	1395
RO:0003302	biolink:related_to	38
RO:0003303	biolink:causes	40
dc:LicenseDocument	biolink:related_to	1
dc:isReferencedBy	biolink:related_to	4
owl:versionIRI	owl:versionIRI	1
rdfs:comment	rdfs:comment	1
rdfs:domain	rdfs:domain	32
rdfs:range	rdfs:range	18
rdfs:seeAlso	rdfs:seeAlso	1
rdfs:subClassOf	biolink:subclass_of	2360
rdfs:subPropertyOf	biolink:subclass_of	60
