relation	predicate	count
BFO:0000050	biolink:related_to	134
BFO:0000051	biolink:related_to	102
BFO:0000054	biolink:related_to	1
BFO:0000057	biolink:related_to	1
BFO:0000066	biolink:related_to	6
BFO:0000067	biolink:related_to	1
ENVO:01001307	biolink:related_to	2
ENVO:02000200	biolink:related_to	6
ENVO:02500016	biolink:related_to	1
ENVO:2000036	biolink:related_to	2
GENO:0000239	biolink:related_to	2
GENO:0000251	biolink:related_to	1
GENO:0000536	biolink:related_to	1
GENO:0000580	biolink:related_to	1
GENO:0000726	biolink:related_to	3
GENO:0000903	biolink:related_to	2
IAO:0000039	biolink:related_to	1
IAO:0000136	biolink:related_to	12
IAO:0000221	biolink:related_to	1
OBI:0000124	biolink:related_to	1
OBI:0000293	biolink:related_to	6
OBI:0000299	biolink:related_to	8
OBI:0000312	biolink:related_to	5
OBI:0000417	biolink:related_to	8
OBI:0001938	biolink:related_to	2
OBO:SDDO_3000007	biolink:related_to	1
OBO:SDDO_3000008	biolink:related_to	2
OBO:SDDO_3000009	biolink:related_to	4
OBO:SDDO_3000013	biolink:related_to	1
OBO:SDDO_3000014	biolink:related_to	1
OBO:SDDO_3000015	biolink:related_to	1
OBO:SDDO_3000017	biolink:related_to	1
OBO:SDDO_3000018	biolink:related_to	1
OBO:SDDO_3000020	biolink:related_to	1
OBO:SDDO_3000021	biolink:related_to	1
OBO:SDDO_3000023	biolink:related_to	2
OBO:SDDO_3000024	biolink:related_to	2
OBO:SDDO_3000026	biolink:related_to	2
OBO:SDDO_3000029	biolink:related_to	1
OBO:SDDO_3000031	biolink:related_to	1
OBO:SDDO_3000034	biolink:related_to	5
OBO:SDDO_3000036	biolink:related_to	1
OBO:SDDO_3000039	biolink:related_to	1
OBO:SDDO_3000042	biolink:related_to	1
OBO:SLSO_0000001	biolink:related_to	1
OBO:SLSO_0000003	biolink:related_to	1
OBO:SLSO_0000007	biolink:related_to	1
OBO:SLSO_0000011	biolink:related_to	1
OBO:SLSO_0000013	biolink:related_to	2
OBO:SLSO_0000015	biolink:related_to	1
OBO:SLSO_0000017	biolink:related_to	1
OBO:chebi#has_parent_hydride	biolink:related_to	1
OBO:chebi#is_conjugate_acid_of	biolink:related_to	13
OBO:chebi#is_conjugate_base_of	biolink:related_to	13
OBO:chebi#is_substituent_group_from	biolink:related_to	4
OBO:chebi#is_tautomer_of	biolink:related_to	4
OBO:exo#interacts_with_an_exposure_receptor_via	biolink:related_to	2
OBO:exo#interacts_with_an_exposure_stressor_via	biolink:related_to	1
OBO:has_prefix	biolink:related_to	79
OMRSE:00000020	biolink:related_to	1
RO:0000052	biolink:related_to	19
RO:0000053	biolink:related_to	7
RO:0000056	biolink:related_to	30
RO:0000057	biolink:related_to	41
RO:0000059	biolink:related_to	1
RO:0000081	biolink:related_to	2
RO:0000085	biolink:related_to	3
RO:0000086	biolink:related_to	72
RO:0000087	biolink:related_to	28
RO:0000091	biolink:related_to	1
RO:0001000	biolink:related_to	6
RO:0001025	biolink:related_to	5
RO:0002131	biolink:related_to	16
RO:0002160	biolink:related_to	1
RO:0002162	biolink:related_to	1
RO:0002202	biolink:related_to	11
RO:0002211	biolink:related_to	2
RO:0002212	biolink:related_to	1
RO:0002215	biolink:related_to	1
RO:0002219	biolink:related_to	4
RO:0002220	biolink:related_to	13
RO:0002229	biolink:related_to	1
RO:0002233	biolink:related_to	12
RO:0002234	biolink:related_to	21
RO:0002297	biolink:related_to	4
RO:0002303	biolink:related_to	1
RO:0002350	biolink:related_to	2
RO:0002351	biolink:related_to	6
RO:0002353	biolink:related_to	4
RO:0002354	biolink:related_to	12
RO:0002427	biolink:related_to	2
RO:0002434	biolink:related_to	2
RO:0002473	biolink:related_to	65
RO:0002493	biolink:related_to	1
RO:0002500	biolink:related_to	1
RO:0002509	biolink:related_to	2
RO:0002608	biolink:related_to	7
http://www.w3.org/2006/vcard/ns#hasMember	biolink:related_to	1
inverseOf	biolink:inverseOf	49
rdfs:subClassOf	biolink:subclass_of	2735
subPropertyOf	biolink:subPropertyOf	191
type	biolink:type	371
