relation	predicate	count
BFO:0000050	biolink:related_to	24
BFO:0000051	biolink:related_to	76
BFO:0000054	biolink:related_to	9
BFO:0000055	biolink:related_to	6
BFO:0000062	biolink:related_to	8
BFO:0000063	biolink:related_to	1
IAO:0000136	biolink:related_to	67
IAO:0000219	biolink:related_to	10
OBI:0000124	biolink:related_to	2
OBI:0000293	biolink:related_to	158
OBI:0000295	biolink:related_to	28
OBI:0000299	biolink:related_to	151
OBI:0000312	biolink:related_to	46
OBI:0000314	biolink:related_to	4
OBI:0000417	biolink:related_to	115
OBI:0000643	biolink:related_to	5
OBI:0001938	biolink:related_to	3
RO:0000052	biolink:related_to	2
RO:0000057	biolink:related_to	2
RO:0000059	biolink:related_to	1
RO:0000079	biolink:related_to	1
RO:0000081	biolink:related_to	1
RO:0000085	biolink:related_to	17
RO:0000087	biolink:related_to	8
RO:0001000	biolink:related_to	1
STATO:0000001	biolink:related_to	10
STATO:0000004	biolink:related_to	3
STATO:0000101	biolink:related_to	2
STATO:0000102	biolink:related_to	3
STATO:0000115	biolink:related_to	1
STATO:0000205	biolink:related_to	29
STATO:0000259	biolink:related_to	2
STATO:0000341	biolink:related_to	2
STATO:0000382	biolink:related_to	4
STATO:0000403	biolink:related_to	14
STATO:0000476	biolink:related_to	2
STATO:0000557	biolink:related_to	3
inverseOf	biolink:inverseOf	21
rdfs:subClassOf	biolink:subclass_of	1145
subPropertyOf	biolink:subPropertyOf	35
type	biolink:type	15
