relation	predicate	count
BFO:0000051	biolink:related_to	2
IAO:0000136	biolink:related_to	12
OBI:0000293	biolink:related_to	3
OBI:0000299	biolink:related_to	3
OBI:0000312	biolink:related_to	3
OBI:0000417	biolink:related_to	8
RO:0000053	biolink:related_to	2
RO:0000087	biolink:related_to	6
http://www.ebi.ac.uk/swo/SWO_0000082	biolink:related_to	9
http://www.ebi.ac.uk/swo/SWO_0000086	biolink:related_to	99
http://www.ebi.ac.uk/swo/SWO_0000087	biolink:related_to	57
http://www.ebi.ac.uk/swo/SWO_0000131	biolink:related_to	8
http://www.ebi.ac.uk/swo/SWO_0000132	biolink:related_to	8
http://www.ebi.ac.uk/swo/SWO_0000150	biolink:related_to	15
http://www.ebi.ac.uk/swo/SWO_0000157	biolink:related_to	2
http://www.ebi.ac.uk/swo/SWO_0000740	biolink:related_to	186
http://www.ebi.ac.uk/swo/SWO_0000741	biolink:related_to	15
http://www.ebi.ac.uk/swo/SWO_0004001	biolink:related_to	40
http://www.ebi.ac.uk/swo/SWO_0040005	biolink:related_to	174
http://www.ebi.ac.uk/swo/SWO_9001002	biolink:related_to	361
http://www.ebi.ac.uk/swo/data/SWO_3000054	biolink:related_to	1
http://www.ebi.ac.uk/swo/has_license	biolink:related_to	41
http://www.ebi.ac.uk/swo/license/SWO_1000048	biolink:related_to	34
http://www.ebi.ac.uk/swo/maturity/SWO_9000067	biolink:related_to	9
http://www.obofoundry.org/ro/ro.owl#has_part	biolink:related_to	3
inverseOf	biolink:inverseOf	37
rdfs:subClassOf	biolink:subclass_of	2202
subPropertyOf	biolink:subPropertyOf	148
type	biolink:type	444
