relation	predicate	count
BFO:0000050	biolink:related_to	863
BFO:0000051	biolink:related_to	120
BFO:0000062	biolink:related_to	20
BFO:0000063	biolink:related_to	3
BFO:0000067	biolink:related_to	1
OBO:chebi#has_functional_parent	biolink:related_to	26
OBO:chebi#has_parent_hydride	biolink:related_to	18
OBO:chebi#is_conjugate_acid_of	biolink:related_to	85
OBO:chebi#is_conjugate_base_of	biolink:related_to	85
OBO:chebi#is_enantiomer_of	biolink:related_to	10
OBO:chebi#is_substituent_group_from	biolink:related_to	7
OBO:chebi#is_tautomer_of	biolink:related_to	24
PO:0040001	biolink:related_to	2
RO:0000052	biolink:related_to	24
RO:0000056	biolink:related_to	30
RO:0000057	biolink:related_to	19
RO:0000086	biolink:related_to	5
RO:0000087	biolink:related_to	277
RO:0001025	biolink:related_to	4
RO:0002160	biolink:related_to	2
RO:0002202	biolink:related_to	134
RO:0002211	biolink:related_to	51
RO:0002213	biolink:related_to	42
RO:0002219	biolink:related_to	1
RO:0002220	biolink:related_to	12
RO:0002473	biolink:related_to	8
RO:0002507	biolink:related_to	2
RO:0002508	biolink:related_to	1
RO:0015007	biolink:related_to	1
RO:0015008	biolink:related_to	1
RO:0015011	biolink:related_to	2
RO:0015012	biolink:related_to	6
inverseOf	biolink:inverseOf	33
rdfs:subClassOf	biolink:subclass_of	6563
subPropertyOf	biolink:subPropertyOf	158
type	biolink:type	2
