relation	predicate	count
BFO:0000050	biolink:related_to	79
BFO:0000051	biolink:related_to	1684
BFO:0000066	biolink:related_to	247
BFO:0000067	biolink:related_to	10
OBO:TXPO_0000004	biolink:related_to	16
OBO:TXPO_0000012	biolink:related_to	68
OBO:TXPO_0000043	biolink:related_to	12
OBO:TXPO_0000069	biolink:related_to	1759
OBO:TXPO_0000076	biolink:related_to	3
OBO:TXPO_0000178	biolink:related_to	4
OBO:TXPO_0000531	biolink:related_to	34
OBO:TXPO_0000716	biolink:related_to	106
OBO:TXPO_0000756	biolink:related_to	204
OBO:TXPO_0000774	biolink:related_to	3
OBO:TXPO_0000819	biolink:related_to	650
OBO:TXPO_0000826	biolink:related_to	49
OBO:TXPO_0001502	biolink:related_to	61
OBO:TXPO_0001518	biolink:related_to	5
OBO:TXPO_0001733	biolink:related_to	24
OBO:TXPO_0001868	biolink:related_to	222
OBO:TXPO_0001873	biolink:related_to	14
OBO:TXPO_0001896	biolink:related_to	34
OBO:TXPO_0002260	biolink:related_to	111
OBO:TXPO_0002524	biolink:related_to	161
OBO:TXPO_0002525	biolink:related_to	2
OBO:TXPO_0003360	biolink:related_to	34
OBO:TXPO_0003500	biolink:related_to	12
OBO:TXPO_0003585	biolink:related_to	6
OBO:uberon/core#channel_for	biolink:related_to	4
OGG:0000000016	biolink:related_to	3
RO:0000052	biolink:related_to	1
RO:0000056	biolink:related_to	95
RO:0000057	biolink:related_to	768
RO:0000086	biolink:related_to	148
RO:0000087	biolink:related_to	1221
RO:0002178	biolink:related_to	1
RO:0002180	biolink:related_to	24
RO:0002211	biolink:related_to	22
RO:0002212	biolink:related_to	126
RO:0002213	biolink:related_to	32
RO:0002233	biolink:related_to	175
RO:0002234	biolink:related_to	287
RO:0002338	biolink:related_to	15
RO:0002339	biolink:related_to	21
RO:0002351	biolink:related_to	17
RO:0002473	biolink:related_to	5
RO:0002596	biolink:related_to	20
RO:0002598	biolink:related_to	18
RO:0002599	biolink:related_to	16
inverseOf	biolink:inverseOf	28
rdfs:subClassOf	biolink:subclass_of	11814
subPropertyOf	biolink:subPropertyOf	54
