relation	predicate	count
BFO:0000050	biolink:related_to	15034
BFO:0000051	biolink:related_to	934
BFO:0000062	biolink:related_to	18
BFO:0000063	biolink:related_to	3
BFO:0000066	biolink:related_to	224
BFO:0000067	biolink:related_to	24
BSPO:0000096	biolink:related_to	12
BSPO:0000097	biolink:related_to	2
BSPO:0000098	biolink:related_to	13
BSPO:0000099	biolink:related_to	9
BSPO:0000100	biolink:related_to	4
BSPO:0000102	biolink:related_to	12
BSPO:0000104	biolink:related_to	1
BSPO:0000107	biolink:related_to	13
BSPO:0000108	biolink:related_to	15
BSPO:0000110	biolink:related_to	1
BSPO:0000120	biolink:related_to	87
BSPO:0000121	biolink:related_to	81
BSPO:0000122	biolink:related_to	9
BSPO:0000123	biolink:related_to	11
BSPO:0000124	biolink:related_to	2
BSPO:0000125	biolink:related_to	2
BSPO:0000126	biolink:related_to	87
BSPO:0001100	biolink:related_to	9
BSPO:0001101	biolink:related_to	8
BSPO:0001102	biolink:related_to	2
BSPO:0001106	biolink:related_to	6
BSPO:0001107	biolink:related_to	40
BSPO:0001108	biolink:related_to	5
BSPO:0001113	biolink:related_to	5
BSPO:0001115	biolink:related_to	3
BSPO:0005001	biolink:related_to	27
BSPO:0015001	biolink:related_to	1
BSPO:0015005	biolink:related_to	4
BSPO:0015006	biolink:related_to	1
BSPO:0015007	biolink:related_to	1
BSPO:0015009	biolink:related_to	1
BSPO:0015012	biolink:related_to	1
BSPO:0015014	biolink:related_to	13
BSPO:0015101	biolink:related_to	4
BSPO:0015102	biolink:related_to	3
BSPO:0015202	biolink:related_to	1
BSPO:0020001	biolink:related_to	6
CL:4030044	biolink:related_to	12
CL:4030045	biolink:related_to	9
CL:4030046	biolink:related_to	288
OBO:GOREL_0002003	biolink:related_to	2
OBO:GOREL_0002004	biolink:related_to	3
OBO:chebi#has_functional_parent	biolink:related_to	39
OBO:chebi#has_parent_hydride	biolink:related_to	18
OBO:chebi#is_conjugate_acid_of	biolink:related_to	99
OBO:chebi#is_conjugate_base_of	biolink:related_to	99
OBO:chebi#is_enantiomer_of	biolink:related_to	36
OBO:chebi#is_substituent_group_from	biolink:related_to	12
OBO:chebi#is_tautomer_of	biolink:related_to	34
OBO:nbo#by_means	biolink:related_to	1
OBO:nbo#has_participant	biolink:related_to	5
OBO:pr#has_gene_template	biolink:related_to	22
OBO:uberon/core#anastomoses_with	biolink:related_to	4
OBO:uberon/core#anteriorly_connected_to	biolink:related_to	22
OBO:uberon/core#channel_for	biolink:related_to	40
OBO:uberon/core#channels_from	biolink:related_to	22
OBO:uberon/core#channels_into	biolink:related_to	15
OBO:uberon/core#distally_connected_to	biolink:related_to	35
OBO:uberon/core#extends_fibers_into	biolink:related_to	134
OBO:uberon/core#filtered_through	biolink:related_to	4
OBO:uberon/core#in_innermost_side_of	biolink:related_to	3
OBO:uberon/core#in_outermost_side_of	biolink:related_to	2
OBO:uberon/core#indirectly_supplies	biolink:related_to	4
OBO:uberon/core#posteriorly_connected_to	biolink:related_to	1
OBO:uberon/core#protects	biolink:related_to	7
OBO:uberon/core#proximally_connected_to	biolink:related_to	56
OBO:uberon/core#sexually_homologous_to	biolink:related_to	12
OBO:uberon/core#site_of	biolink:related_to	13
OBO:uberon/core#subdivision_of	biolink:related_to	8
OBO:uberon/core#trunk_part_of	biolink:related_to	1
RO:0000053	biolink:related_to	81
RO:0000056	biolink:related_to	19
RO:0000057	biolink:related_to	20
RO:0000086	biolink:related_to	113
RO:0000087	biolink:related_to	322
RO:0001015	biolink:related_to	19
RO:0001025	biolink:related_to	179
RO:0002002	biolink:related_to	1
RO:0002005	biolink:related_to	193
RO:0002007	biolink:related_to	61
RO:0002082	biolink:related_to	11
RO:0002087	biolink:related_to	7
RO:0002100	biolink:related_to	66
RO:0002103	biolink:related_to	5
RO:0002104	biolink:related_to	237
RO:0002120	biolink:related_to	3
RO:0002131	biolink:related_to	340
RO:0002134	biolink:related_to	123
RO:0002150	biolink:related_to	126
RO:0002159	biolink:related_to	3
RO:0002160	biolink:related_to	371
RO:0002162	biolink:related_to	845
RO:0002170	biolink:related_to	234
RO:0002176	biolink:related_to	553
RO:0002177	biolink:related_to	2
RO:0002178	biolink:related_to	150
RO:0002179	biolink:related_to	92
RO:0002180	biolink:related_to	9
RO:0002202	biolink:related_to	1719
RO:0002203	biolink:related_to	11
RO:0002207	biolink:related_to	2
RO:0002210	biolink:related_to	1
RO:0002211	biolink:related_to	1155
RO:0002212	biolink:related_to	1003
RO:0002213	biolink:related_to	992
RO:0002215	biolink:related_to	337
RO:0002216	biolink:related_to	155
RO:0002219	biolink:related_to	35
RO:0002220	biolink:related_to	353
RO:0002221	biolink:related_to	96
RO:0002223	biolink:related_to	1
RO:0002224	biolink:related_to	14
RO:0002225	biolink:related_to	4
RO:0002226	biolink:related_to	9
RO:0002229	biolink:related_to	1
RO:0002230	biolink:related_to	5
RO:0002231	biolink:related_to	17
RO:0002232	biolink:related_to	15
RO:0002252	biolink:related_to	161
RO:0002254	biolink:related_to	122
RO:0002256	biolink:related_to	19
RO:0002285	biolink:related_to	8
RO:0002292	biolink:related_to	1
RO:0002295	biolink:related_to	1
RO:0002296	biolink:related_to	681
RO:0002297	biolink:related_to	179
