relation	predicate	count
BFO:0000050	biolink:part_of	19028
BFO:0000051	biolink:has_part	941
BFO:0000062	biolink:preceded_by	18
BFO:0000063	biolink:precedes	3
BFO:0000066	biolink:occurs_in	202
BFO:0000067	biolink:occurs_in	21
BSPO:0000096	biolink:coexists_with	12
BSPO:0000097	biolink:coexists_with	3
BSPO:0000098	biolink:coexists_with	10
BSPO:0000099	biolink:coexists_with	6
BSPO:0000100	biolink:coexists_with	3
BSPO:0000102	biolink:coexists_with	6
BSPO:0000104	biolink:coexists_with	1
BSPO:0000107	biolink:located_in	9
BSPO:0000108	biolink:located_in	10
BSPO:0000110	biolink:coexists_with	1
BSPO:0000113	biolink:coexists_with	3
BSPO:0000120	biolink:located_in	47
BSPO:0000121	biolink:located_in	46
BSPO:0000122	biolink:located_in	11
BSPO:0000123	biolink:located_in	9
BSPO:0000124	biolink:located_in	2
BSPO:0000125	biolink:located_in	2
BSPO:0000126	biolink:located_in	107
BSPO:0001100	biolink:located_in	6
BSPO:0001101	biolink:located_in	5
BSPO:0001106	biolink:part_of	4
BSPO:0001107	biolink:located_in	26
BSPO:0001108	biolink:part_of	4
BSPO:0001113	biolink:part_of	5
BSPO:0001115	biolink:part_of	2
BSPO:0005001	biolink:overlaps	15
BSPO:0015001	biolink:coexists_with	6
BSPO:0015005	biolink:coexists_with	4
BSPO:0015006	biolink:coexists_with	1
BSPO:0015007	biolink:coexists_with	6
BSPO:0015008	biolink:coexists_with	12
BSPO:0015014	biolink:coexists_with	12
BSPO:0015101	biolink:located_in	6
BSPO:0015102	biolink:located_in	5
FBdv:00018001	biolink:related_to	112
IAO:0000136	biolink:related_to	1
OBO:GOREL_0002003	biolink:affects_localization_of	2
OBO:GOREL_0002004	biolink:increases_degradation_of	3
OBO:bspo#parallel_to	biolink:related_to	2
OBO:chebi#has_functional_parent	biolink:related_to	242
OBO:chebi#has_parent_hydride	biolink:related_to	43
OBO:chebi#is_conjugate_acid_of	biolink:related_to	478
OBO:chebi#is_conjugate_base_of	biolink:related_to	478
OBO:chebi#is_enantiomer_of	biolink:related_to	140
