relation	predicate	count
BFO:0000050	biolink:related_to	22
BFO:0000051	biolink:related_to	1152
BFO:0000054	biolink:related_to	6
BFO:0000055	biolink:related_to	6
BFO:0000062	biolink:related_to	4
BFO:0000066	biolink:related_to	79
IAO:0000136	biolink:related_to	4
IAO:0000142	biolink:related_to	1
OBI:0000293	biolink:related_to	8
OBI:0000295	biolink:related_to	114
OBI:0000299	biolink:related_to	21
OBI:0000312	biolink:related_to	2
OBI:0000417	biolink:related_to	15
OBI:0000643	biolink:related_to	1
OBI:0001938	biolink:related_to	1
RO:0000052	biolink:related_to	9
RO:0000056	biolink:related_to	59
RO:0000057	biolink:related_to	6
RO:0000085	biolink:related_to	809
RO:0000086	biolink:related_to	2868
RO:0000087	biolink:related_to	9132
RO:0000091	biolink:related_to	1
RO:0001000	biolink:related_to	1
RO:0001025	biolink:related_to	61
RO:0002162	biolink:related_to	252
RO:0002180	biolink:related_to	1317
RO:0002292	biolink:related_to	114
RO:0004019	biolink:related_to	1
VO:0000462	biolink:related_to	1
VO:0000520	biolink:related_to	27
VO:0000524	biolink:related_to	51
VO:0000525	biolink:related_to	3
VO:0000527	biolink:related_to	2
VO:0000530	biolink:related_to	16
VO:0000531	biolink:related_to	80
VO:0000547	biolink:related_to	346
VO:0000799	biolink:related_to	4
VO:0000894	biolink:related_to	4
VO:0001011	biolink:related_to	8712
VO:0001039	biolink:related_to	3
VO:0001243	biolink:related_to	8179
VO:0003127	biolink:related_to	1
VO:0003355	biolink:related_to	11794
VO:0005312	biolink:related_to	85
VO:0005377	biolink:related_to	2
VO:0005561	biolink:related_to	1
VO:0005562	biolink:related_to	1
VO:0015007	biolink:related_to	5122
inverseOf	biolink:inverseOf	18
rdfs:subClassOf	biolink:subclass_of	23498
subPropertyOf	biolink:subPropertyOf	64
type	biolink:type	557
