relation	predicate	count
BFO:0000050	biolink:related_to	502
BFO:0000051	biolink:related_to	123
BFO:0000062	biolink:related_to	7
BFO:0000066	biolink:related_to	56
IAO:0000136	biolink:related_to	1
OBO:chebi#has_functional_parent	biolink:related_to	52
OBO:chebi#has_parent_hydride	biolink:related_to	17
OBO:chebi#is_conjugate_acid_of	biolink:related_to	110
OBO:chebi#is_conjugate_base_of	biolink:related_to	110
OBO:chebi#is_enantiomer_of	biolink:related_to	24
OBO:chebi#is_substituent_group_from	biolink:related_to	11
OBO:chebi#is_tautomer_of	biolink:related_to	42
RO:0000053	biolink:related_to	5
RO:0000056	biolink:related_to	2
RO:0000087	biolink:related_to	499
RO:0002087	biolink:related_to	28
RO:0002092	biolink:related_to	7
RO:0002093	biolink:related_to	1
RO:0002160	biolink:related_to	4
RO:0002162	biolink:related_to	1
RO:0002202	biolink:related_to	6
RO:0002211	biolink:related_to	335
RO:0002212	biolink:related_to	284
RO:0002213	biolink:related_to	287
RO:0002215	biolink:related_to	10
RO:0002216	biolink:related_to	1
RO:0002503	biolink:related_to	1
RO:0002610	biolink:related_to	1
RO:0015007	biolink:related_to	33
RO:0015008	biolink:related_to	32
RO:0015011	biolink:related_to	2
RO:0015012	biolink:related_to	6
inverseOf	biolink:inverseOf	27
rdfs:subClassOf	biolink:subclass_of	10181
subPropertyOf	biolink:subPropertyOf	140
type	biolink:type	18
