relation	predicate	count
BFO:0000050	biolink:related_to	2333
BFO:0000051	biolink:related_to	282
BFO:0000066	biolink:related_to	116
BSPO:0000097	biolink:related_to	1
BSPO:0000098	biolink:related_to	1
BSPO:0000099	biolink:related_to	1
BSPO:0000104	biolink:related_to	1
BSPO:0000110	biolink:related_to	1
BSPO:0000113	biolink:related_to	4
BSPO:0001102	biolink:related_to	2
BSPO:0015001	biolink:related_to	6
BSPO:0015003	biolink:related_to	4
BSPO:0015005	biolink:related_to	4
BSPO:0015007	biolink:related_to	6
BSPO:0015008	biolink:related_to	12
OBO:chebi#has_functional_parent	biolink:related_to	214
OBO:chebi#has_parent_hydride	biolink:related_to	33
OBO:chebi#is_conjugate_acid_of	biolink:related_to	489
OBO:chebi#is_conjugate_base_of	biolink:related_to	489
OBO:chebi#is_enantiomer_of	biolink:related_to	114
OBO:chebi#is_substituent_group_from	biolink:related_to	18
OBO:chebi#is_tautomer_of	biolink:related_to	130
OBO:mpath#part_of	biolink:related_to	1
RO:0000087	biolink:related_to	1365
RO:0002092	biolink:related_to	9
RO:0002093	biolink:related_to	1
RO:0002131	biolink:related_to	139
RO:0002150	biolink:related_to	1
RO:0002202	biolink:related_to	512
RO:0002211	biolink:related_to	1353
RO:0002212	biolink:related_to	1197
RO:0002213	biolink:related_to	1198
RO:0002254	biolink:related_to	10
RO:0002496	biolink:related_to	1469
RO:0002497	biolink:related_to	597
RO:0002503	biolink:related_to	5
RO:0002610	biolink:related_to	1
RO:0015007	biolink:related_to	82
RO:0015008	biolink:related_to	81
RO:0015010	biolink:related_to	65
RO:0015011	biolink:related_to	5
RO:0015012	biolink:related_to	8
inverseOf	biolink:inverseOf	33
rdfs:subClassOf	biolink:subclass_of	94166
subPropertyOf	biolink:subPropertyOf	154
